cells_per_edge,total_cells,cg_iterations,solve_time_sec,energy
8,512,76,0.046512675,12.83299420820492
12,6096,454,3.31666491,14.61821723209232
16,9640,513,14.122630914,14.61825321837428
20,24800,736,39.570216949,14.61826288865002
24,42720,867,64.457720466,14.61826436998764
