cells_per_edge,total_cells,cg_iterations,solve_time_sec,energy
8,512,114,0.240085953,13.37483925021204
12,6096,673,28.791801578,14.6182654282047
16,9640,755,52.464981222,14.61826534968582
20,24800,1080,201.406284333,14.61826547590238
24,42720,1271,391.487893165,14.61826547234022
